Time,Flux,Max_Particle_Vel,Max_K,Max_Eps
9.999999999999995004e-03,0.000000000000000000e+00,6.396615467073656358e-01,5.309957627306581551e-02,1.622464245185716303e-01
1.999999999999993450e-02,0.000000000000000000e+00,7.531299298399195541e-01,6.638942066711539525e-02,2.488880329216494047e-01
2.999999999999987399e-02,0.000000000000000000e+00,6.474783105076502565e-01,8.909500949410620319e-02,4.088869195721133720e-01
4.000000000000011879e-02,0.000000000000000000e+00,4.226389668949342426e-01,1.058046599003184818e-01,5.880980987652286718e-01
5.000000000000040523e-02,0.000000000000000000e+00,4.487786258464187550e-01,1.127181021312107373e-01,7.519990392335926810e-01
6.000000000000069167e-02,0.000000000000000000e+00,4.936446517529586853e-01,1.170573569831793864e-01,8.709318087419600785e-01
7.000000000000097811e-02,0.000000000000000000e+00,3.256588735891549624e-01,1.187754342740271751e-01,9.373399660377432774e-01
8.000000000000126454e-02,0.000000000000000000e+00,3.628081040289420356e-01,1.156025395550188822e-01,9.480148391949010378e-01
9.000000000000155098e-02,0.000000000000000000e+00,5.507122027981929957e-01,1.212907746996446379e-01,9.005797563380718573e-01
1.000000000000018374e-01,0.000000000000000000e+00,4.769870922442883132e-01,1.235579786986368278e-01,8.015915469459553577e-01
1.100000000000021239e-01,0.000000000000000000e+00,3.725908670724056293e-01,1.243405411453573500e-01,8.211354464248192819e-01
1.200000000000024103e-01,0.000000000000000000e+00,4.278577437222895741e-01,1.265761944228040725e-01,8.254424325352945901e-01
1.300000000000020028e-01,0.000000000000000000e+00,3.506753093824568346e-01,1.312242849088625374e-01,8.377838895627859328e-01
1.400000000000009015e-01,0.000000000000000000e+00,2.772133821513610985e-01,1.302882118917075560e-01,8.454723721275780868e-01
1.499999999999998002e-01,0.000000000000000000e+00,2.796281273470305750e-01,1.276304770463972671e-01,8.355474723076112831e-01
1.599999999999986988e-01,0.000000000000000000e+00,3.085083079479152279e-01,1.251240674199600167e-01,8.082391342970357551e-01
1.699999999999975975e-01,0.000000000000000000e+00,2.923451730932828951e-01,1.238514513900862007e-01,7.722383766610653177e-01
1.799999999999964961e-01,0.000000000000000000e+00,2.831649277461068537e-01,1.222906397512236593e-01,7.861358463197296587e-01
1.899999999999953948e-01,0.000000000000000000e+00,2.948986742937674266e-01,1.201458274201432225e-01,7.983534029195020754e-01
1.999999999999942935e-01,0.000000000000000000e+00,3.324101945642884970e-01,1.179177570980571299e-01,8.056942698097919742e-01
2.099999999999931921e-01,0.000000000000000000e+00,2.894043857639364559e-01,1.151199867662057591e-01,8.101545517522421580e-01
2.199999999999920908e-01,0.000000000000000000e+00,2.963630684098828572e-01,1.109151371129877828e-01,8.131235498653385241e-01
2.299999999999909894e-01,0.000000000000000000e+00,3.110940315863647831e-01,1.127241796693440740e-01,8.153712937486153889e-01
