Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
9.999999999999995004e-03,0.000000000000000000e+00,6.027156599230559797e-01,4.416748314019481279e-03,3.634862615191976687e+01
1.999999999999993450e-02,0.000000000000000000e+00,5.408468664649115354e-01,5.741915606770142157e-03,4.560286918062018913e+01
2.999999999999987399e-02,0.000000000000000000e+00,4.601843729170533304e-01,8.129931578312493343e-03,5.824919818350466016e+01
4.000000000000011879e-02,0.000000000000000000e+00,3.855885322692536588e-01,1.140198706697709286e-02,6.536667761474683402e+01
5.000000000000040523e-02,0.000000000000000000e+00,4.367187353302028341e-01,1.515165573897851899e-02,6.587008600815815385e+01
6.000000000000069167e-02,0.000000000000000000e+00,4.003010873075733556e-01,2.079465332906459824e-02,7.382053635422323623e+01
7.000000000000097811e-02,0.000000000000000000e+00,4.167970817732389310e-01,2.593462961287604576e-02,7.732955718270410728e+01
8.000000000000126454e-02,0.000000000000000000e+00,4.648544958833032426e-01,2.884239246523538636e-02,7.699471106347186833e+01
9.000000000000155098e-02,0.000000000000000000e+00,3.806777883071869040e-01,3.182304788230308490e-02,7.774001614935555438e+01
1.000000000000018374e-01,0.000000000000000000e+00,4.194048076877775477e-01,3.451510075667911515e-02,8.242489191052047204e+01
1.100000000000021239e-01,0.000000000000000000e+00,4.653836869241205210e-01,3.669923905076881432e-02,8.643236021979865313e+01
1.200000000000024103e-01,0.000000000000000000e+00,4.869751672826208022e-01,4.085930508701527547e-02,8.984442744439223816e+01
1.300000000000020028e-01,0.000000000000000000e+00,3.483616948851144257e-01,4.398391123123995827e-02,9.270149285511175208e+01
1.400000000000009015e-01,0.000000000000000000e+00,3.948369952421756368e-01,4.653183238661914162e-02,9.507997666493203326e+01
1.499999999999998002e-01,0.000000000000000000e+00,4.527477639601593107e-01,4.843053937178386226e-02,9.705428966652739575e+01
1.599999999999986988e-01,0.000000000000000000e+00,3.617891380292614367e-01,4.974788890448688522e-02,9.867077934668240857e+01
1.699999999999975975e-01,0.000000000000000000e+00,4.507786141301486915e-01,5.078653780889974545e-02,9.996542113244136374e+01
1.799999999999964961e-01,0.000000000000000000e+00,3.998305616591998901e-01,5.163707624186428952e-02,1.009877561671503372e+02
1.899999999999953948e-01,0.000000000000000000e+00,3.530069096138305218e-01,5.242485031442050553e-02,1.017717007715142472e+02
1.999999999999942935e-01,0.000000000000000000e+00,4.252903128906940222e-01,5.305607854379626454e-02,1.023575515742173394e+02
