Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
9.999999999999995004e-03,0.000000000000000000e+00,4.695791972999779351e-01,3.750000000000006800e-03,1.000000000000000000e+03
1.999999999999993450e-02,0.000000000000000000e+00,4.902906355818485995e-01,3.750000000000010703e-03,1.000000000000000000e+03
2.999999999999987399e-02,0.000000000000000000e+00,4.858288587786609436e-01,3.750000000000012004e-03,1.000000000000000000e+03
4.000000000000011879e-02,0.000000000000000000e+00,3.680135566955872184e-01,3.750000000000013739e-03,1.000000000000000000e+03
5.000000000000040523e-02,0.000000000000000000e+00,3.856705411449766752e-01,3.750000000000016341e-03,1.000000000000000000e+03
6.000000000000069167e-02,0.000000000000000000e+00,3.561085089725661845e-01,3.750000000000015907e-03,1.000000000000000000e+03
7.000000000000097811e-02,0.000000000000000000e+00,2.979866955448080001e-01,3.750000000000015474e-03,1.000000000000000000e+03
8.000000000000126454e-02,0.000000000000000000e+00,3.051076227537317664e-01,3.750000000000019811e-03,1.000000000000000000e+03
9.000000000000155098e-02,0.000000000000000000e+00,3.335161368769916090e-01,3.750000000000023280e-03,1.000000000000000000e+03
1.000000000000018374e-01,0.000000000000000000e+00,2.510295385016348413e-01,3.750000000000020244e-03,1.000000000000000000e+03
1.100000000000021239e-01,0.000000000000000000e+00,2.956229056162222868e-01,3.750000000000016775e-03,1.000000000000000000e+03
1.200000000000024103e-01,0.000000000000000000e+00,3.046726715185780199e-01,3.750000000000019377e-03,1.000000000000000000e+03
1.300000000000020028e-01,0.000000000000000000e+00,2.480158125305555461e-01,3.750000000000020244e-03,1.000000000000000000e+03
1.400000000000009015e-01,0.000000000000000000e+00,2.507154347303156006e-01,3.750000000000020244e-03,1.000000000000000000e+03
1.499999999999998002e-01,0.000000000000000000e+00,2.770269825959049692e-01,3.750000000000022846e-03,1.000000000000000000e+03
1.599999999999986988e-01,0.000000000000000000e+00,2.389791003462931329e-01,3.750000000000025015e-03,1.000000000000000000e+03
1.699999999999975975e-01,0.000000000000000000e+00,2.232279207689058242e-01,3.750000000000027617e-03,1.000000000000000000e+03
1.799999999999964961e-01,0.000000000000000000e+00,2.281968367036855960e-01,3.750000000000029785e-03,1.000000000000000000e+03
1.899999999999953948e-01,0.000000000000000000e+00,2.070520847543582121e-01,3.750000000000033255e-03,1.000000000000000000e+03
1.999999999999942935e-01,0.000000000000000000e+00,2.161520352174602089e-01,3.750000000000038459e-03,1.000000000000000000e+03
2.099999999999931921e-01,0.000000000000000000e+00,2.579704515402393428e-01,3.750000000000040627e-03,1.000000000000000000e+03
2.199999999999920908e-01,0.000000000000000000e+00,2.855750838495400012e-01,3.750000000000038459e-03,1.000000000000000000e+03
2.299999999999909894e-01,0.000000000000000000e+00,3.106822525687013004e-01,3.750000000000037158e-03,1.000000000000000000e+03
2.399999999999898881e-01,0.000000000000000000e+00,3.310998513752598238e-01,3.750000000000038459e-03,1.000000000000000000e+03
2.499999999999887867e-01,0.000000000000000000e+00,3.568473108194109567e-01,3.750000000000036724e-03,1.000000000000000000e+03
