Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
9.999999999999995004e-03,0.000000000000000000e+00,9.055243965841457410e-01,1.091455503291122002e-02,5.903166868371665288e+01
1.999999999999993450e-02,0.000000000000000000e+00,8.425182661949500718e-01,1.562453251528642464e-02,8.608855892899620699e+01
2.999999999999987399e-02,0.000000000000000000e+00,8.190236455396687765e-01,2.237714241326857478e-02,1.063712796615004663e+02
4.000000000000011879e-02,0.000000000000000000e+00,8.113694534598725472e-01,3.580506510879261084e-02,1.258507013124230696e+02
5.000000000000040523e-02,0.000000000000000000e+00,7.083652844149624928e-01,4.984521226980825892e-02,1.340411014138131520e+02
6.000000000000069167e-02,0.000000000000000000e+00,6.532585657830506376e-01,6.289020561793884356e-02,1.330762656554919090e+02
7.000000000000097811e-02,0.000000000000000000e+00,4.817481894187767288e-01,7.385216541272825175e-02,1.336905891406149465e+02
8.000000000000126454e-02,0.000000000000000000e+00,4.459987869340724109e-01,8.225120738748611937e-02,1.418533365916073592e+02
9.000000000000155098e-02,0.000000000000000000e+00,4.944355883142643182e-01,8.977612615283518671e-02,1.476232939341513202e+02
1.000000000000018374e-01,0.000000000000000000e+00,3.564605192894035324e-01,1.015918820655736243e-01,1.531945488540937106e+02
1.100000000000021239e-01,0.000000000000000000e+00,4.320158615125187507e-01,1.142989025195079583e-01,1.578748398542815039e+02
1.200000000000024103e-01,0.000000000000000000e+00,4.241263315765494979e-01,1.258339523171379537e-01,1.612184052026765926e+02
1.300000000000020028e-01,0.000000000000000000e+00,3.934335848753036102e-01,1.351004854915824061e-01,1.622767839487025867e+02
1.400000000000009015e-01,0.000000000000000000e+00,6.161328858388586127e-01,1.432324347032450096e-01,1.554307623070109798e+02
1.499999999999998002e-01,0.000000000000000000e+00,6.184927187662648818e-01,1.484631166141432701e-01,1.557833242232696875e+02
1.599999999999986988e-01,0.000000000000000000e+00,4.454325093503836430e-01,1.483427873605063230e-01,1.555931259697939026e+02
1.699999999999975975e-01,0.000000000000000000e+00,5.077482668367286900e-01,1.445474098664941420e-01,1.548571253005154631e+02
1.799999999999964961e-01,0.000000000000000000e+00,4.786497759522230777e-01,1.416747256653797526e-01,1.537532362016237073e+02
1.899999999999953948e-01,0.000000000000000000e+00,5.085335607563579163e-01,1.364747338411006206e-01,1.526200549227453678e+02
1.999999999999942935e-01,0.000000000000000000e+00,4.865785807940026797e-01,1.295355703629249289e-01,1.511469847681477461e+02
2.099999999999931921e-01,0.000000000000000000e+00,5.089359177082132257e-01,1.367919840521581998e-01,1.493543561943645841e+02
2.199999999999920908e-01,0.000000000000000000e+00,6.508472468790759136e-01,1.448941507778385429e-01,1.472485313184473625e+02
2.299999999999909894e-01,0.000000000000000000e+00,4.421211601847473416e-01,1.519077177742521045e-01,1.455620713615098225e+02
2.399999999999898881e-01,0.000000000000000000e+00,5.609613618770965537e-01,1.581481395724019801e-01,1.438551561558844583e+02
2.499999999999887867e-01,0.000000000000000000e+00,5.414016777561286853e-01,1.648223700577724493e-01,1.425315163331449355e+02
2.599999999999876854e-01,0.000000000000000000e+00,7.165156320346108831e-01,1.712557124266035069e-01,1.413991285754825640e+02
2.699999999999865841e-01,0.000000000000000000e+00,5.051767794183217308e-01,1.784126647811647426e-01,1.401923727355803067e+02
2.799999999999854827e-01,0.000000000000000000e+00,5.796744251963872330e-01,1.855243375481639978e-01,1.388163426980743225e+02
2.899999999999843814e-01,0.000000000000000000e+00,5.134362779580239344e-01,1.929541147375713750e-01,1.373044217991227640e+02
2.999999999999832800e-01,0.000000000000000000e+00,5.028183786893185570e-01,1.995481642330845795e-01,1.357059140713089107e+02
3.099999999999821787e-01,0.000000000000000000e+00,5.108393180229097164e-01,2.052126113943840424e-01,1.341120694020579265e+02
3.199999999999810774e-01,0.000000000000000000e+00,5.455164191610444302e-01,2.119803122537124718e-01,1.325772920042470844e+02
3.299999999999799760e-01,0.000000000000000000e+00,5.080017226081129378e-01,2.190174042399232190e-01,1.311117403908744450e+02
3.399999999999788747e-01,0.000000000000000000e+00,4.685515330193860684e-01,2.253771014309318144e-01,1.296562346064582130e+02
3.499999999999777733e-01,0.000000000000000000e+00,5.052170718633284263e-01,2.304539732647165329e-01,1.281992977044018858e+02
3.599999999999766720e-01,0.000000000000000000e+00,4.744265464331113291e-01,2.343800340097736412e-01,1.267520716767208171e+02
3.699999999999755707e-01,0.000000000000000000e+00,4.629677687626950755e-01,2.373219651705710531e-01,1.253325940055849372e+02
3.799999999999744693e-01,0.000000000000000000e+00,5.685936477923528853e-01,2.394109564917611954e-01,1.239496274828525770e+02
3.899999999999733680e-01,0.000000000000000000e+00,6.117536476495821773e-01,2.406821022077218208e-01,1.225909507788506261e+02
3.999999999999722666e-01,0.000000000000000000e+00,5.708555904424518213e-01,2.412708757605820376e-01,1.212481734574714238e+02
4.099999999999711653e-01,0.000000000000000000e+00,5.804816228181999271e-01,2.413150511210763738e-01,1.199144074397069346e+02
4.199999999999700639e-01,0.000000000000000000e+00,5.446238837621787399e-01,2.409760998280801592e-01,1.185884875126949538e+02
4.299999999999689626e-01,0.000000000000000000e+00,5.194826949155125773e-01,2.403800237506979187e-01,1.172669005548659413e+02
4.399999999999678613e-01,0.000000000000000000e+00,5.446830609483852559e-01,2.396236138289626894e-01,1.159436400589761291e+02
4.499999999999667599e-01,0.000000000000000000e+00,4.700620982528343483e-01,2.387815993691569660e-01,1.146219163812327082e+02
4.599999999999656586e-01,0.000000000000000000e+00,5.952972977542886346e-01,2.379881495086281495e-01,1.133354041371759990e+02
4.699999999999645572e-01,0.000000000000000000e+00,5.223482753145006763e-01,2.372544221719150026e-01,1.121078223312333648e+02
4.799999999999634559e-01,0.000000000000000000e+00,4.407008171055263324e-01,2.366240243930294584e-01,1.109644469336758164e+02
4.899999999999623546e-01,0.000000000000000000e+00,4.582683671076389076e-01,2.361138135147573813e-01,1.099209509701314005e+02
4.999999999999612532e-01,0.000000000000000000e+00,5.661189728858990744e-01,2.357281725038125886e-01,1.089837468862082233e+02
5.099999999999601519e-01,0.000000000000000000e+00,5.759388664965087168e-01,2.354486249026031541e-01,1.081490627040579682e+02
5.199999999999590505e-01,0.000000000000000000e+00,7.361310133864326088e-01,2.352650544508401720e-01,1.074047109732752290e+02
5.299999999999579492e-01,0.000000000000000000e+00,5.759015283785645645e-01,2.351780901221727504e-01,1.068803424586235451e+02
5.399999999999568479e-01,0.000000000000000000e+00,5.304953440767448125e-01,2.351945413532064155e-01,1.119925117841771112e+02
5.499999999999557465e-01,0.000000000000000000e+00,6.042634231585041205e-01,2.354503733480896033e-01,1.171151416727415722e+02
5.599999999999546452e-01,0.000000000000000000e+00,8.695143132426338406e-01,2.358435101405586543e-01,1.221901819225862482e+02
5.699999999999535438e-01,0.000000000000000000e+00,6.057909665493735885e-01,2.362626184376530880e-01,1.271519387921441506e+02
5.799999999999524425e-01,0.000000000000000000e+00,4.879497525615284492e-01,2.366765307775683669e-01,1.323562811083764359e+02
5.899999999999513411e-01,0.000000000000000000e+00,7.651492469628288218e-01,2.370574892032352166e-01,1.377072891389014160e+02
5.999999999999502398e-01,0.000000000000000000e+00,7.190219073753014722e-01,2.374257763474983685e-01,1.427779848759795982e+02
6.099999999999491385e-01,0.000000000000000000e+00,4.827373406731022554e-01,2.377815158805539897e-01,1.475371854662644182e+02
6.199999999999480371e-01,0.000000000000000000e+00,5.640487806663225800e-01,2.381219436437178871e-01,1.548399198403875232e+02
6.299999999999469358e-01,0.000000000000000000e+00,5.297519055908233021e-01,2.384744784220921010e-01,1.627777362541932575e+02
6.399999999999458344e-01,0.000000000000000000e+00,7.319607660169772378e-01,2.388254883905110149e-01,1.705526284196343738e+02
6.499999999999447331e-01,0.000000000000000000e+00,7.702363620367552732e-01,2.391938588714407343e-01,1.786470932025777074e+02
6.599999999999436318e-01,0.000000000000000000e+00,7.840967026390172068e-01,2.396068840539023470e-01,1.862174755583187959e+02
6.699999999999425304e-01,0.000000000000000000e+00,7.814864352899247857e-01,2.401054885844603470e-01,1.923075170472187665e+02
6.799999999999414291e-01,0.000000000000000000e+00,8.249789990407675466e-01,2.407469542855295574e-01,2.016780629479204663e+02
6.899999999999403277e-01,0.000000000000000000e+00,7.925554710499547184e-01,2.415384349317493962e-01,2.127810909599380977e+02
6.999999999999392264e-01,0.000000000000000000e+00,6.177820311410110454e-01,2.424908409696852341e-01,2.233593964077553551e+02
7.099999999999381251e-01,0.000000000000000000e+00,5.330874169919121996e-01,2.436109808325775117e-01,2.326981899452921141e+02
7.199999999999370237e-01,0.000000000000000000e+00,4.037420261444379932e-01,2.448977542458129764e-01,2.397834556891610305e+02
7.299999999999359224e-01,0.000000000000000000e+00,4.850625095430353695e-01,2.463533564728579706e-01,2.452618432814436744e+02
7.399999999999348210e-01,0.000000000000000000e+00,5.247796405714695300e-01,2.480006405334768127e-01,2.488835454700989374e+02
7.499999999999337197e-01,0.000000000000000000e+00,6.969763653534793990e-01,2.498761943103250394e-01,2.581296723861279361e+02
7.599999999999326183e-01,0.000000000000000000e+00,6.530733700282566057e-01,2.520376793458693476e-01,2.664179348130427911e+02
7.699999999999315170e-01,0.000000000000000000e+00,3.766188416361545555e-01,2.545488906066298851e-01,2.750059673804460090e+02
7.799999999999304157e-01,0.000000000000000000e+00,4.842974388584837531e-01,2.576526856251440400e-01,2.814467766570970753e+02
7.899999999999293143e-01,0.000000000000000000e+00,5.628618485139913474e-01,2.612908717086349641e-01,2.864361724998567524e+02
7.999999999999282130e-01,0.000000000000000000e+00,6.207201864287463788e-01,2.655242949882053449e-01,2.918779280533339033e+02
8.099999999999271116e-01,0.000000000000000000e+00,5.533239623585104461e-01,2.704213119328092718e-01,2.948348253684256406e+02
8.199999999999260103e-01,0.000000000000000000e+00,4.095154486606041311e-01,2.760395670263779966e-01,2.970536344456834286e+02
8.299999999999249090e-01,0.000000000000000000e+00,5.888068524542868776e-01,2.824355244665033848e-01,2.989247628876423732e+02
8.399999999999238076e-01,0.000000000000000000e+00,5.658421180590577082e-01,2.896792441028561149e-01,3.039967476890855096e+02
8.499999999999227063e-01,0.000000000000000000e+00,5.358217906143140086e-01,2.978307548279396366e-01,3.115100459879899972e+02
8.599999999999216049e-01,0.000000000000000000e+00,6.336179137392208283e-01,3.069341088444722532e-01,3.179340686990259428e+02
8.699999999999205036e-01,0.000000000000000000e+00,4.115140872842072972e-01,3.170267017883390825e-01,3.243877278320821915e+02
8.799999999999194022e-01,0.000000000000000000e+00,5.819115674058941146e-01,3.280881754423784491e-01,3.295038773475930611e+02
8.899999999999183009e-01,0.000000000000000000e+00,5.906438673362044423e-01,3.400234371520922672e-01,3.346649458660602932e+02
8.999999999999171996e-01,0.000000000000000000e+00,7.748458168055986084e-01,3.526232788852829980e-01,3.377619899725712571e+02
9.099999999999160982e-01,0.000000000000000000e+00,4.030426802414037168e-01,3.666873172561698202e-01,3.403104770093753473e+02
9.199999999999149969e-01,1.000000000000000000e+00,6.753056959365899559e-01,3.818476569785128616e-01,3.434974577296272855e+02
9.299999999999138955e-01,1.000000000000000000e+00,5.121895747951351607e-01,3.964820826088060191e-01,3.506450948777105054e+02
9.399999999999127942e-01,1.000000000000000000e+00,5.114551186593869758e-01,4.098305918900063127e-01,3.584730456857512877e+02
9.499999999999116929e-01,1.000000000000000000e+00,5.439736704053781402e-01,4.211744875338970240e-01,3.666473406657281089e+02
9.599999999999105915e-01,1.000000000000000000e+00,7.329779821789494942e-01,4.298898549669046276e-01,3.748882865068149499e+02
9.699999999999094902e-01,2.000000000000000000e+00,8.013145176375304768e-01,4.356285901828454432e-01,3.832465385285865409e+02
9.799999999999083888e-01,2.000000000000000000e+00,7.089423978339401966e-01,4.381353914855675713e-01,3.910722212929812258e+02
9.899999999999072875e-01,2.000000000000000000e+00,5.291065626279852774e-01,4.375136955736066979e-01,3.978715600861113444e+02
9.999999999999061862e-01,2.000000000000000000e+00,6.551592198745984641e-01,4.341313762377692620e-01,4.043072278283844980e+02
1.009999999999905196e+00,2.000000000000000000e+00,5.421440518576295942e-01,4.285841002456675652e-01,4.093022985758105392e+02
1.019999999999904094e+00,2.000000000000000000e+00,5.691528204080652520e-01,4.213361032956968732e-01,4.135070016810851143e+02
