Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
9.999999999999995004e-03,0.000000000000000000e+00,7.648452826480985900e-01,8.437500000000023107e-03,1.000000000000000000e+03
1.999999999999993450e-02,0.000000000000000000e+00,7.667692923763740342e-01,8.437500000000036984e-03,1.000000000000000000e+03
2.999999999999987399e-02,0.000000000000000000e+00,8.258427955469391790e-01,8.437500000000043923e-03,1.000000000000000000e+03
4.000000000000011879e-02,0.000000000000000000e+00,9.455463049555991040e-01,8.437500000000040454e-03,1.000000000000000000e+03
5.000000000000040523e-02,0.000000000000000000e+00,8.344736455062892189e-01,8.437500000000047393e-03,1.000000000000000000e+03
6.000000000000069167e-02,0.000000000000000000e+00,6.657158043818434123e-01,8.437500000000047393e-03,1.000000000000000000e+03
7.000000000000097811e-02,0.000000000000000000e+00,7.734194944974186470e-01,8.437500000000040454e-03,1.000000000000000000e+03
8.000000000000126454e-02,0.000000000000000000e+00,8.144731311162765053e-01,8.437500000000045658e-03,1.000000000000000000e+03
9.000000000000155098e-02,0.000000000000000000e+00,8.319368234961355135e-01,8.437500000000040454e-03,1.000000000000000000e+03
1.000000000000018374e-01,0.000000000000000000e+00,1.166383254226650790e+00,8.437500000000040454e-03,1.000000000000000000e+03
1.100000000000021239e-01,0.000000000000000000e+00,1.117371762821364634e+00,8.437500000000047393e-03,1.000000000000000000e+03
1.200000000000024103e-01,0.000000000000000000e+00,1.106774591983487266e+00,8.437500000000040454e-03,1.000000000000000000e+03
1.300000000000020028e-01,0.000000000000000000e+00,8.716309743582295599e-01,8.437500000000049127e-03,1.000000000000000000e+03
1.400000000000009015e-01,0.000000000000000000e+00,5.925148543085908548e-01,8.437500000000052597e-03,1.000000000000000000e+03
1.499999999999998002e-01,0.000000000000000000e+00,8.306425541817523683e-01,8.437500000000050862e-03,1.000000000000000000e+03
1.599999999999986988e-01,0.000000000000000000e+00,9.228982125618541144e-01,8.437500000000056066e-03,1.000000000000000000e+03
1.699999999999975975e-01,0.000000000000000000e+00,6.295450833503295485e-01,8.437500000000061270e-03,1.000000000000000000e+03
1.799999999999964961e-01,0.000000000000000000e+00,5.307859678236154233e-01,8.437500000000075148e-03,1.000000000000000000e+03
1.899999999999953948e-01,0.000000000000000000e+00,5.176832142867355824e-01,8.437500000000068209e-03,1.000000000000000000e+03
1.999999999999942935e-01,0.000000000000000000e+00,5.762176786909278814e-01,8.437500000000071679e-03,1.000000000000000000e+03
2.099999999999931921e-01,0.000000000000000000e+00,6.567530488119126542e-01,8.437500000000073413e-03,1.000000000000000000e+03
2.199999999999920908e-01,0.000000000000000000e+00,7.331254981493434686e-01,8.437500000000068209e-03,1.000000000000000000e+03
2.299999999999909894e-01,0.000000000000000000e+00,8.240705635556540010e-01,8.437500000000071679e-03,1.000000000000000000e+03
2.399999999999898881e-01,0.000000000000000000e+00,8.975167968848550837e-01,8.437500000000071679e-03,1.000000000000000000e+03
2.499999999999887867e-01,0.000000000000000000e+00,9.455961275339844763e-01,8.437500000000075148e-03,1.000000000000000000e+03
2.599999999999876854e-01,0.000000000000000000e+00,8.976132399691981734e-01,8.437500000000078618e-03,1.000000000000000000e+03
2.699999999999865841e-01,0.000000000000000000e+00,6.229834650563791376e-01,8.437500000000078618e-03,1.000000000000000000e+03
2.799999999999854827e-01,0.000000000000000000e+00,6.810563329299527124e-01,8.437500000000092495e-03,1.000000000000000000e+03
2.899999999999843814e-01,0.000000000000000000e+00,6.175597232529755898e-01,8.437500000000075148e-03,1.000000000000000000e+03
2.999999999999832800e-01,0.000000000000000000e+00,5.231114250725573678e-01,8.437500000000089026e-03,1.000000000000000000e+03
3.099999999999821787e-01,0.000000000000000000e+00,6.068386333979786107e-01,8.437500000000101169e-03,1.000000000000000000e+03
3.199999999999810774e-01,0.000000000000000000e+00,5.746204009086264275e-01,8.437500000000082087e-03,1.000000000000000000e+03
3.299999999999799760e-01,0.000000000000000000e+00,6.552181973290341910e-01,8.437500000000083822e-03,1.000000000000000000e+03
3.399999999999788747e-01,0.000000000000000000e+00,5.614848259533955499e-01,8.437500000000087291e-03,1.000000000000000000e+03
3.499999999999777733e-01,0.000000000000000000e+00,5.241248449785754771e-01,8.437500000000076883e-03,1.000000000000000000e+03
3.599999999999766720e-01,0.000000000000000000e+00,6.408459348627172369e-01,8.437500000000069944e-03,1.000000000000000000e+03
3.699999999999755707e-01,0.000000000000000000e+00,5.238610749712359071e-01,8.437500000000069944e-03,1.000000000000000000e+03
3.799999999999744693e-01,0.000000000000000000e+00,6.098092266834136410e-01,8.437500000000061270e-03,1.000000000000000000e+03
3.899999999999733680e-01,0.000000000000000000e+00,4.105486189858666424e-01,8.437500000000056066e-03,1.000000000000000000e+03
3.999999999999722666e-01,0.000000000000000000e+00,5.480930000841857108e-01,8.437500000000057801e-03,1.000000000000000000e+03
4.099999999999711653e-01,0.000000000000000000e+00,4.270809755277331088e-01,8.437500000000069944e-03,1.000000000000000000e+03
4.199999999999700639e-01,1.000000000000000000e+00,5.007482400851368531e-01,8.437500000000068209e-03,1.000000000000000000e+03
4.299999999999689626e-01,1.000000000000000000e+00,5.322016118934306261e-01,8.437500000000061270e-03,1.000000000000000000e+03
4.399999999999678613e-01,1.000000000000000000e+00,4.173696609160347792e-01,8.437500000000066475e-03,1.000000000000000000e+03
4.499999999999667599e-01,1.000000000000000000e+00,5.357529645665342066e-01,8.437500000000068209e-03,1.000000000000000000e+03
4.599999999999656586e-01,1.000000000000000000e+00,5.923046065875080535e-01,8.437500000000071679e-03,1.000000000000000000e+03
4.699999999999645572e-01,1.000000000000000000e+00,6.394269233452662959e-01,8.437500000000073413e-03,1.000000000000000000e+03
4.799999999999634559e-01,1.000000000000000000e+00,6.692303217500303880e-01,8.437500000000089026e-03,1.000000000000000000e+03
4.899999999999623546e-01,1.000000000000000000e+00,6.726323560660231182e-01,8.437500000000075148e-03,1.000000000000000000e+03
4.999999999999612532e-01,1.000000000000000000e+00,6.769698156710157733e-01,8.437500000000075148e-03,1.000000000000000000e+03
5.099999999999601519e-01,1.000000000000000000e+00,6.639847672720443628e-01,8.437500000000054332e-03,1.000000000000000000e+03
5.199999999999590505e-01,1.000000000000000000e+00,6.273605001397875025e-01,8.437500000000050862e-03,1.000000000000000000e+03
5.299999999999579492e-01,1.000000000000000000e+00,5.977203724424838827e-01,8.437500000000043923e-03,1.000000000000000000e+03
5.399999999999568479e-01,1.000000000000000000e+00,4.912445936158083559e-01,8.437500000000049127e-03,1.000000000000000000e+03
5.499999999999557465e-01,1.000000000000000000e+00,4.943197346274125215e-01,8.437500000000054332e-03,1.000000000000000000e+03
5.599999999999546452e-01,1.000000000000000000e+00,4.637174058531837728e-01,8.437500000000063005e-03,1.000000000000000000e+03
5.699999999999535438e-01,1.000000000000000000e+00,5.176197375195338291e-01,8.437500000000075148e-03,1.000000000000000000e+03
5.799999999999524425e-01,1.000000000000000000e+00,4.517539301297671117e-01,8.437500000000059536e-03,1.000000000000000000e+03
5.899999999999513411e-01,1.000000000000000000e+00,4.553515227910704954e-01,8.437500000000052597e-03,1.000000000000000000e+03
5.999999999999502398e-01,1.000000000000000000e+00,4.735673415480791681e-01,8.437500000000056066e-03,1.000000000000000000e+03
6.099999999999491385e-01,1.000000000000000000e+00,4.838786942414091685e-01,8.437500000000069944e-03,1.000000000000000000e+03
6.199999999999480371e-01,1.000000000000000000e+00,3.800397461851023895e-01,8.437500000000068209e-03,1.000000000000000000e+03
6.299999999999469358e-01,1.000000000000000000e+00,4.561863031934534352e-01,8.437500000000061270e-03,1.000000000000000000e+03
6.399999999999458344e-01,1.000000000000000000e+00,4.125850706065249951e-01,8.437500000000056066e-03,1.000000000000000000e+03
6.499999999999447331e-01,1.000000000000000000e+00,4.956374153919842485e-01,8.437500000000059536e-03,1.000000000000000000e+03
6.599999999999436318e-01,1.000000000000000000e+00,3.925170609572954383e-01,8.437500000000057801e-03,1.000000000000000000e+03
6.699999999999425304e-01,1.000000000000000000e+00,3.940309012721344706e-01,8.437500000000059536e-03,1.000000000000000000e+03
6.799999999999414291e-01,1.000000000000000000e+00,4.121113161824929150e-01,8.437500000000056066e-03,1.000000000000000000e+03
6.899999999999403277e-01,1.000000000000000000e+00,3.633483449045696867e-01,8.437500000000052597e-03,1.000000000000000000e+03
6.999999999999392264e-01,1.000000000000000000e+00,4.368035431283053827e-01,8.437500000000059536e-03,1.000000000000000000e+03
7.099999999999381251e-01,1.000000000000000000e+00,3.886625426188470289e-01,8.437500000000049127e-03,1.000000000000000000e+03
7.199999999999370237e-01,1.000000000000000000e+00,4.389478847671923756e-01,8.437500000000052597e-03,1.000000000000000000e+03
7.299999999999359224e-01,1.000000000000000000e+00,4.811004568858281982e-01,8.437500000000069944e-03,1.000000000000000000e+03
7.399999999999348210e-01,1.000000000000000000e+00,4.967061556325458316e-01,8.437500000000071679e-03,1.000000000000000000e+03
7.499999999999337197e-01,1.000000000000000000e+00,4.880299121669218199e-01,8.437500000000066475e-03,1.000000000000000000e+03
7.599999999999326183e-01,1.000000000000000000e+00,5.213230107484878584e-01,8.437500000000064740e-03,1.000000000000000000e+03
7.699999999999315170e-01,1.000000000000000000e+00,3.618440148491829933e-01,8.437500000000054332e-03,1.000000000000000000e+03
7.799999999999304157e-01,1.000000000000000000e+00,3.493542680115395704e-01,8.437500000000064740e-03,1.000000000000000000e+03
7.899999999999293143e-01,1.000000000000000000e+00,3.491133480017556967e-01,8.437500000000064740e-03,1.000000000000000000e+03
7.999999999999282130e-01,1.000000000000000000e+00,4.868206781685031626e-01,8.437500000000071679e-03,1.000000000000000000e+03
8.099999999999271116e-01,1.000000000000000000e+00,3.566895093571066377e-01,8.437500000000064740e-03,1.000000000000000000e+03
8.199999999999260103e-01,1.000000000000000000e+00,3.821540000997287745e-01,8.437500000000063005e-03,1.000000000000000000e+03
8.299999999999249090e-01,1.000000000000000000e+00,4.324359483363430234e-01,8.437500000000064740e-03,1.000000000000000000e+03
8.399999999999238076e-01,1.000000000000000000e+00,3.717767062038576098e-01,8.437500000000076883e-03,1.000000000000000000e+03
