time,y,vy,ay
0.000000000000000000e+00,1.023999547594359183e-01,-9.048112818457332155e-04,-9.048112818457331841e+00
1.000000000000000048e-04,1.023998202820446263e-01,-1.784736543999096946e-03,-8.799252621533637964e+00
2.000000000000000096e-04,1.023996016908866880e-01,-2.587086614638133084e-03,-8.023500706390361614e+00
3.000000000000000279e-04,1.023993052377526469e-01,-3.341976066191641552e-03,-7.548894515535084615e+00
4.000000000000000192e-04,1.023989341712811668e-01,-4.079353363375188418e-03,-7.373772971835466095e+00
5.000000000000000104e-04,1.023984893587887440e-01,-4.816896484989945104e-03,-7.375431216147563696e+00
6.000000000000000559e-04,1.023979705071075691e-01,-5.560137138377086417e-03,-7.432406533871415810e+00
7.000000000000001013e-04,1.023973771630197344e-01,-6.306744618380557242e-03,-7.466074800034711245e+00
8.000000000000001468e-04,1.023967089556368920e-01,-7.057403038450076743e-03,-7.506584200695199272e+00
9.000000000000001922e-04,1.023959662379203966e-01,-7.796951291460146698e-03,-7.395482530100701446e+00
1.000000000000000238e-03,1.023951497275731037e-01,-8.533255654325418507e-03,-7.363043628652721218e+00
1.100000000000000283e-03,1.023942597785794939e-01,-9.265724217853732805e-03,-7.324685635283143093e+00
1.200000000000000329e-03,1.023932967474290440e-01,-9.994898791118072418e-03,-7.291745732643397204e+00
1.300000000000000374e-03,1.023922609146013241e-01,-1.072175776322636422e-02,-7.268589721082923560e+00
1.400000000000000419e-03,1.023911524841092380e-01,-1.144685207861049006e-02,-7.250943153841256539e+00
1.500000000000000465e-03,1.023899716345824940e-01,-1.217013845640454832e-02,-7.232863777940585770e+00
1.600000000000000510e-03,1.023887185663779897e-01,-1.289122563363542806e-02,-7.210871772308789396e+00
1.700000000000000556e-03,1.023873935202039565e-01,-1.360969784697536877e-02,-7.184722133399404242e+00
1.800000000000000601e-03,1.023859967694106393e-01,-1.432531801929503266e-02,-7.156201723196638831e+00
