time,y,vy,ay
0.000000000000000000e+00,1.023999547594382220e-01,-9.048112356360601917e-04,-9.048112356360601183e+00
1.000000000000000048e-04,1.023998202820471937e-01,-1.784736585021678978e-03,-8.799253493856186381e+00
2.000000000000000096e-04,1.023996016908758216e-01,-2.587086842504558032e-03,-8.023502574828789591e+00
3.000000000000000279e-04,1.023993052377029644e-01,-3.341976614671942226e-03,-7.548897721673842653e+00
4.000000000000000192e-04,1.023989341711520062e-01,-4.079354404599493111e-03,-7.373777899275504311e+00
5.000000000000000104e-04,1.023984893585210554e-01,-4.816898214324336069e-03,-7.375438097248425251e+00
6.000000000000000559e-04,1.023979705066220269e-01,-5.560139766131618616e-03,-7.432415518072825300e+00
7.000000000000001013e-04,1.023973771622153361e-01,-6.306748367599210661e-03,-7.466086014675917149e+00
8.000000000000001468e-04,1.023967089543893899e-01,-7.057408151430977390e-03,-7.506597838317667915e+00
9.000000000000001922e-04,1.023959662360852396e-01,-7.796957931444701076e-03,-7.395497800137240674e+00
1.000000000000000238e-03,1.023951497249841330e-01,-8.533264090552994396e-03,-7.363061591082928459e+00
1.100000000000000283e-03,1.023942597750424621e-01,-9.265734742764982629e-03,-7.324706522119885932e+00
1.200000000000000329e-03,1.023932967427201857e-01,-9.994911702888530786e-03,-7.291769601235479570e+00
1.300000000000000374e-03,1.023922609084669394e-01,-1.072177336201724646e-02,-7.268616591287162088e+00
1.400000000000000419e-03,1.023911524762655401e-01,-1.144687066587615938e-02,-7.250973038589126674e+00
1.500000000000000465e-03,1.023899716247154840e-01,-1.217016033518040011e-02,-7.232896693042411229e+00
1.600000000000000510e-03,1.023887185541432626e-01,-1.289125110911652251e-02,-7.210907739361219093e+00
1.700000000000000556e-03,1.023873935052264511e-01,-1.360972722703519648e-02,-7.184761179186745395e+00
1.800000000000000601e-03,1.023859967512843611e-01,-1.432535161476991212e-02,-7.156243877347163718e+00
1.900000000000000647e-03,1.023845285784841519e-01,-1.503810438932280148e-02,-7.127527745528890790e+00
2.000000000000000475e-03,1.023829892677817210e-01,-1.574810965935651702e-02,-7.100052700337169398e+00
2.100000000000000304e-03,1.023813790857508732e-01,-1.645553095761410206e-02,-7.074212982575835973e+00
2.200000000000000133e-03,1.023796982844764336e-01,-1.716049453104705538e-02,-7.049635734329545045e+00
2.299999999999999961e-03,1.023779471066693231e-01,-1.786306161112443877e-02,-7.025670800773828439e+00
2.399999999999999790e-03,1.023761257915828393e-01,-1.856324011857851328e-02,-7.001785074540754827e+00
2.499999999999999618e-03,1.023742345789112607e-01,-1.926101331310697481e-02,-6.977731945284606496e+00
2.599999999999999447e-03,1.023722737099706931e-01,-1.995636549820435299e-02,-6.953521850973793939e+00
2.699999999999999276e-03,1.023702434269451039e-01,-2.064929501364766787e-02,-6.929295154433151360e+00
2.799999999999999104e-03,1.023681439714627384e-01,-2.133981463355641081e-02,-6.905196199087428433e+00
2.899999999999998933e-03,1.023659755834848833e-01,-2.202794492351796418e-02,-6.881302899615518776e+00
2.999999999999998761e-03,1.023637385009037171e-01,-2.271370669983123133e-02,-6.857617763132660471e+00
3.099999999999998590e-03,1.023614329597499206e-01,-2.339711637609908149e-02,-6.834096762678498749e+00
3.199999999999998419e-03,1.023590591946805101e-01,-2.407818501221597324e-02,-6.810686361168925451e+00
3.299999999999998247e-03,1.023566174394345274e-01,-2.475691990749353741e-02,-6.787348952775658084e+00
3.399999999999998076e-03,1.023541079270918475e-01,-2.543332694602637792e-02,-6.764070385328399659e+00
